peak,lat,lon,id,abv
adams,44.3205,-71.2913,GHCND:USW00014755,ADM
washington,44.2705,-71.30325,GHCND:USW00014755,WSH
madison,44.328333,-71.277778,GHCND:USW00014755,MAD
monroe,44.25556,-71.3225,GHCND:USW00014755,MON
eisenhower,44.240667,-71.350333,GHCND:USW00014755,EIS
lafayette,44.160705,-71.644361,GHCND:USC00274329,LAF
jefferson,44.3042,-71.31685,GHCND:USW00014755,JEF
carter,44.267288,-71.178963,GHCND:USW00014755,CAR
moosilauke,44.024511,-71.830917,GHCND:USC00438556,MOS
wildcat,44.258879,-71.201431,GHCND:USC00276818,WIL
moriah,44.340278,-71.131389,GHCND:USC00270690,MOR
cabot,44.505984,-71.414423,GHCND:USC00270690,CAB
